number,value,datetime_start,datetime_complete,duration,params_gb_learning_rate,params_gb_max_depth,params_gb_min_samples_leaf,params_gb_n_estimators,params_gb_subsample,params_lr_C,params_lr_solver,params_model_type,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,user_attrs_log_loss_std,user_attrs_model_type,state
0,1.0432893632812106,2026-02-26 19:02:11.279552,2026-02-26 19:02:13.764528,0 days 00:00:02.484976,,,,,,,,RandomForest,5.0,sqrt,12.0,3.0,500.0,0.01143291557317258,RandomForest,COMPLETE
1,1.0433151614883562,2026-02-26 19:02:13.765288,2026-02-26 19:02:15.065000,0 days 00:00:01.299712,,,,,,,,RandomForest,5.0,sqrt,13.0,10.0,250.0,0.010321194872829734,RandomForest,COMPLETE
2,1.0081991620868496,2026-02-26 19:02:15.065415,2026-02-26 19:02:15.136196,0 days 00:00:00.070781,,,,,,0.06789053271698488,saga,LogisticRegression,,,,,,0.014828867900068567,LogisticRegression,COMPLETE
3,1.049337948144498,2026-02-26 19:02:15.136684,2026-02-26 19:02:16.281011,0 days 00:00:01.144327,0.07896186801026692,3.0,48.0,100.0,0.6260206371941118,,,GradientBoosting,,,,,,0.021725602768782774,GradientBoosting,COMPLETE
4,1.0195470496741275,2026-02-26 19:02:16.281566,2026-02-26 19:02:16.304495,0 days 00:00:00.022929,,,,,,0.0030786517836196197,lbfgs,LogisticRegression,,,,,,0.015562542528956502,LogisticRegression,COMPLETE
5,1.0474831459589051,2026-02-26 19:02:16.304870,2026-02-26 19:02:19.886282,0 days 00:00:03.581412,,,,,,,,RandomForest,6.0,log2,35.0,11.0,750.0,0.007304402369121228,RandomForest,COMPLETE
6,1.0085102779006192,2026-02-26 19:02:19.886611,2026-02-26 19:02:19.911589,0 days 00:00:00.024978,,,,,,29.79454462591363,saga,LogisticRegression,,,,,,0.014707777153702174,LogisticRegression,COMPLETE
7,1.0477902661849594,2026-02-26 19:02:19.911836,2026-02-26 19:02:21.443098,0 days 00:00:01.531262,,,,,,,,RandomForest,8.0,,17.0,26.0,300.0,0.01194590409623956,RandomForest,COMPLETE
8,1.046259394680213,2026-02-26 19:02:21.443507,2026-02-26 19:02:25.248207,0 days 00:00:03.804700,,,,,,,,RandomForest,13.0,sqrt,14.0,2.0,800.0,0.012596899397342981,RandomForest,COMPLETE
9,1.0172115580490488,2026-02-26 19:02:25.248552,2026-02-26 19:02:25.270550,0 days 00:00:00.021998,,,,,,0.0037961668958008117,lbfgs,LogisticRegression,,,,,,0.015423342522916886,LogisticRegression,COMPLETE
10,1.1772151993074684,2026-02-26 19:02:25.270773,2026-02-26 19:02:35.954602,0 days 00:00:10.683829,0.010260022325256595,10.0,6.0,550.0,0.9883416332150827,,,GradientBoosting,,,,,,,,PRUNED
11,1.008510758883316,2026-02-26 19:02:35.955009,2026-02-26 19:02:35.982024,0 days 00:00:00.027015,,,,,,46.0724325540507,saga,LogisticRegression,,,,,,0.014707623788207936,LogisticRegression,COMPLETE
12,1.0084595585067857,2026-02-26 19:02:35.982311,2026-02-26 19:02:36.010900,0 days 00:00:00.028589,,,,,,0.7435336603337422,saga,LogisticRegression,,,,,,0.014723918409532884,LogisticRegression,COMPLETE
13,1.0083757179469415,2026-02-26 19:02:36.011542,2026-02-26 19:02:36.039431,0 days 00:00:00.027889,,,,,,0.2527775539180305,saga,LogisticRegression,,,,,,0.014752842444951496,LogisticRegression,COMPLETE
14,1.0082937765878892,2026-02-26 19:02:36.039698,2026-02-26 19:02:36.067104,0 days 00:00:00.027406,,,,,,0.13663486378361517,saga,LogisticRegression,,,,,,0.01478317553231271,LogisticRegression,COMPLETE
15,1.008189201933496,2026-02-26 19:02:36.067464,2026-02-26 19:02:36.094101,0 days 00:00:00.026637,,,,,,0.0500831336511717,saga,LogisticRegression,,,,,,0.014847747082995383,LogisticRegression,COMPLETE
16,1.0082184728718737,2026-02-26 19:02:36.094324,2026-02-26 19:02:36.132891,0 days 00:00:00.038567,,,,,,0.039317527829383594,saga,LogisticRegression,,,,,,0.014859041849806413,LogisticRegression,COMPLETE
17,2.127100215905042,2026-02-26 19:02:36.133199,2026-02-26 19:02:39.273797,0 days 00:00:03.140598,0.28560777949741245,6.0,27.0,350.0,0.8056891692692755,,,GradientBoosting,,,,,,,,PRUNED
18,1.0084309656261758,2026-02-26 19:02:39.274784,2026-02-26 19:02:39.302012,0 days 00:00:00.027228,,,,,,0.025359462394081374,saga,LogisticRegression,,,,,,0.01486602901683867,LogisticRegression,COMPLETE
19,0.9958616123098215,2026-02-26 19:02:39.302289,2026-02-26 19:02:39.326608,0 days 00:00:00.024319,,,,,,2.7615159740375086,lbfgs,LogisticRegression,,,,,,,,PRUNED
20,1.0406581424739874,2026-02-26 19:02:39.326856,2026-02-26 19:02:40.877042,0 days 00:00:01.550186,0.04815035925095871,2.0,29.0,300.0,0.8066305882008067,,,GradientBoosting,,,,,,,,PRUNED
21,1.0083250512524935,2026-02-26 19:02:40.877374,2026-02-26 19:02:40.904092,0 days 00:00:00.026718,,,,,,0.029594295246378067,saga,LogisticRegression,,,,,,0.014865781358041199,LogisticRegression,COMPLETE
22,1.0081882410278709,2026-02-26 19:02:40.904350,2026-02-26 19:02:40.933259,0 days 00:00:00.028909,,,,,,0.051839056644911626,saga,LogisticRegression,,,,,,0.014845803137497384,LogisticRegression,COMPLETE
23,1.0082475669251585,2026-02-26 19:02:40.933532,2026-02-26 19:02:40.962661,0 days 00:00:00.029129,,,,,,0.10032951574056978,saga,LogisticRegression,,,,,,0.014802537007380448,LogisticRegression,COMPLETE
24,1.008261078390617,2026-02-26 19:02:40.962935,2026-02-26 19:02:40.990625,0 days 00:00:00.027690,,,,,,0.0339798366287675,saga,LogisticRegression,,,,,,0.014863516498329744,LogisticRegression,COMPLETE
25,1.008398479882578,2026-02-26 19:02:40.990969,2026-02-26 19:02:41.019676,0 days 00:00:00.028707,,,,,,0.31348520456224804,saga,LogisticRegression,,,,,,0.014744955732229146,LogisticRegression,COMPLETE
26,1.015726904257605,2026-02-26 19:02:41.019943,2026-02-26 19:02:41.034181,0 days 00:00:00.014238,,,,,,0.0012171364407879508,saga,LogisticRegression,,,,,,,,PRUNED
