id,campeonato,status,data,placar_casa,placar_fora,time_casa,jogos_casa,gols_marcados_casa,gols_sofridos_casa,media_marcados_casa,media_sofridos_casa,time_fora,jogos_fora,gols_marcados_fora,gols_sofridos_fora,media_marcados_fora,media_sofridos_fora,ofensividade_casa,defensividade_casa,ofensividade_fora,defensividade_fora,probabilidade_gol,melhor_chance
g_1_t4kl8pdt,Brasileirão Betano,26.02. 19:00,2026-02-26 19:00:00,2.0,1.0,Santos,4,6,8,1.5,2.0,Vasco,4,3,6,0.75,1.5,Baixa ofensividade,Média defensividade,Muito baixa ofensividade,Alta defensividade,Muito Baixa,Casa
g_1_zoPwpY9j,Brasileirão Betano,25.02. 21:30,2026-02-25 21:30:00,2.0,1.0,Grêmio,4,8,8,2.0,2.0,Atlético-MG,4,6,8,1.5,2.0,Média ofensividade,Média defensividade,Baixa ofensividade,Média defensividade,Muito Baixa,Casa
g_1_065k6OQh,Brasileirão Betano,25.02. 21:30,2026-02-25 21:30:00,2.0,1.0,Palmeiras,4,12,5,3.0,1.25,Fluminense,4,5,4,1.25,1.0,Muito alta ofensividade,Alta defensividade,Baixa ofensividade,Muito alta defensividade,Média,Casa
g_1_Uoc62tQH,Brasileirão Betano,25.02. 20:00,2026-02-25 20:00:00,1.0,1.0,Cruzeiro,4,4,9,1.0,2.25,Corinthians,4,5,3,1.25,0.75,Muito baixa ofensividade,Baixa defensividade,Baixa ofensividade,Muito alta defensividade,Muito Baixa,Casa
g_1_zyMP7y2c,Brasileirão Betano,25.02. 19:30,2026-02-25 19:30:00,0.0,1.0,Coritiba,4,5,6,1.25,1.5,São Paulo,4,6,2,1.5,0.5,Baixa ofensividade,Alta defensividade,Baixa ofensividade,Muito alta defensividade,Baixa,Casa
g_1_8W8c42e5,Brasileirão Betano,25.02. 19:00,2026-02-25 19:00:00,1.0,1.0,Red Bull Bragantino2,0,0,0,0.0,0.0,Athletico-PR,4,4,3,1.0,0.75,Muito baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_4GDt4g1M,Brasileirão Betano,25.02. 19:00,2026-02-25 19:00:00,1.0,1.0,Remo,4,6,8,1.5,2.0,Internacional,4,3,6,0.75,1.5,Baixa ofensividade,Média defensividade,Muito baixa ofensividade,Alta defensividade,Muito Baixa,Casa
g_1_4ts9tvn1,Brasileirão Betano,19.02. 19:30,2026-02-19 19:30:00,0.0,1.0,Athletico-PR,4,4,3,1.0,0.75,Corinthians,4,5,3,1.25,0.75,Muito baixa ofensividade,Muito alta defensividade,Baixa ofensividade,Muito alta defensividade,Baixa,Fora
g_1_WUwqa7JP,Brasileirão Betano,12.02. 21:30,2026-02-12 21:30:00,1.0,3.0,Internacional,4,3,6,0.75,1.5,Palmeiras,4,12,5,3.0,1.25,Muito baixa ofensividade,Alta defensividade,Muito alta ofensividade,Alta defensividade,Baixa,Fora
g_1_ttBjgHV6,Brasileirão Betano,12.02. 20:00,2026-02-12 20:00:00,2.0,0.0,Corinthians,4,5,3,1.25,0.75,Red Bull Bragantino,4,3,3,0.75,0.75,Baixa ofensividade,Muito alta defensividade,Muito baixa ofensividade,Muito alta defensividade,Baixa,Casa
g_1_SES32L8K,Brasileirão Betano,12.02. 19:30,2026-02-12 19:30:00,1.0,0.0,Fluminense,4,5,4,1.25,1.0,Botafogo,3,7,6,2.33,2.0,Baixa ofensividade,Muito alta defensividade,Alta ofensividade,Média defensividade,Baixa,Fora
g_1_0pUEgosm,Brasileirão Betano,12.02. 19:00,2026-02-12 19:00:00,2.0,1.0,Athletico-PR,4,4,3,1.0,0.75,Santos,4,6,8,1.5,2.0,Muito baixa ofensividade,Muito alta defensividade,Baixa ofensividade,Média defensividade,Muito Baixa,Fora
g_1_pEHsew1f,Brasileirão Betano,11.02. 21:30,2026-02-11 21:30:00,2.0,0.0,São Paulo,4,6,2,1.5,0.5,Grêmio,4,8,8,2.0,2.0,Baixa ofensividade,Muito alta defensividade,Média ofensividade,Média defensividade,Baixa,Fora
g_1_Cn4zcaWs,Brasileirão Betano,11.02. 21:30,2026-02-11 21:30:00,0.0,1.0,Vasco,4,3,6,0.75,1.5,Bahia,3,4,2,1.33,0.67,Muito baixa ofensividade,Alta defensividade,Baixa ofensividade,Muito alta defensividade,Muito Baixa,Equilibrado
g_1_bkuLfER1,Brasileirão Betano,11.02. 20:00,2026-02-11 20:00:00,3.0,3.0,Atlético-MG,4,6,8,1.5,2.0,Remo,4,6,8,1.5,2.0,Baixa ofensividade,Média defensividade,Baixa ofensividade,Média defensividade,Muito Baixa,Equilibrado
g_1_UPLVk3tC,Brasileirão Betano,11.02. 19:00,2026-02-11 19:00:00,3.0,3.0,Chapecoense,3,8,6,2.67,2.0,Coritiba,4,5,6,1.25,1.5,Muito alta ofensividade,Média defensividade,Baixa ofensividade,Alta defensividade,Baixa,Casa
g_1_Eg9bie0J,Brasileirão Betano,11.02. 19:00,2026-02-11 19:00:00,2.0,2.0,Mirassol,3,6,5,2.0,1.67,Cruzeiro,4,4,9,1.0,2.25,Média ofensividade,Média defensividade,Muito baixa ofensividade,Baixa defensividade,Muito Baixa,Casa
g_1_MaINiPBa,Brasileirão Betano,10.02. 21:30,2026-02-10 21:30:00,1.0,2.0,Vitória,3,4,7,1.33,2.33,Flamengo,3,4,4,1.33,1.33,Baixa ofensividade,Baixa defensividade,Baixa ofensividade,Alta defensividade,Muito Baixa,Casa
g_1_EB2UmMgR,Brasileirão Betano,05.02. 21:30,2026-02-05 21:30:00,1.0,2.0,Cruzeiro,4,4,9,1.0,2.25,Coritiba,4,5,6,1.25,1.5,Muito baixa ofensividade,Baixa defensividade,Baixa ofensividade,Alta defensividade,Muito Baixa,Casa
